HHNR	ZPERS	AUSB	EINK	AUTOS	ZGDE
96000264900	4	0	7	1	96
96000267500	1	0	9	1	96
96000272000	1	0	13	2	96
96000275200	1	0	19	3	96
96000284300	5	0	5	0	96
96000287500	2	0	11	2	96
96000295900	3	0	15	3	96
96000298500	4	0	5	1	96
96000300600	2	0	15	2	96
96000306900	1	0	9	0	96
96000312400	1	0	5	0	96
96000343700	3	0	11	0	96
96000354200	1	0	5	0	96
96000357500	1	0	11	1	96
96000361400	3	0	9	1	96
96000370400	1	0	7	2	96
96000372300	2	0	5	0	96
96000374700	2	0	7	1	96
96000380700	3	0	3	1	96
96000406700	1	0	13	2	96
96000409400	3	0	11	2	96
96000435300	1	0	9	1	96
96000435800	1	0	5	0	96
96000439800	1	0	7	1	96
96000452700	2	0	9	2	96
96000461700	2	0	3	2	96
96000467300	1	0	19	2	96
96000488600	1	0	9	0	96
96000489800	3	0	9	2	96
96000497400	2	0	11	1	96
96000505800	1	0	13	1	96
96000526300	2	0	11	1	96
96000530700	1	0	7	2	96
96000547800	2	0	11	2	96
